iter	Logloss
0	0.6841783362
1	0.6769422423
2	0.6669244899
3	0.6606813973
4	0.6538066302
5	0.6444720851
6	0.6367793943
7	0.6281297302
8	0.6201237036
9	0.6131766209
10	0.6045815283
11	0.5975488645
12	0.5908988659
13	0.5834932906
14	0.5768316639
15	0.5696339675
16	0.5613327726
17	0.5546801708
18	0.5481379212
19	0.5415720431
20	0.5350480021
21	0.5291820309
22	0.523435098
23	0.5167047208
24	0.5101865942
25	0.5039235784
26	0.4996071388
27	0.4931933656
28	0.4881814727
29	0.4821060813
30	0.477609452
31	0.4720815368
32	0.4667138094
33	0.4620490054
34	0.4567335438
35	0.4522375995
36	0.4460727877
37	0.4411604623
38	0.4355064367
39	0.4308197278
40	0.4275946306
41	0.4221079667
42	0.4180200282
43	0.4138239593
44	0.4091795974
45	0.4055344321
46	0.401338964
47	0.3973396405
48	0.392825381
49	0.3882033185
50	0.384612979
51	0.3810131217
52	0.3770612663
53	0.3728285901
54	0.3691503385
55	0.3646661817
56	0.3608640522
57	0.3582242402
58	0.3537517309
59	0.3501206945
60	0.3461839339
61	0.3431932166
62	0.3403422461
63	0.3373958972
64	0.3338508261
65	0.3304540862
66	0.3275003565
67	0.3242095649
68	0.3207576338
69	0.3175607739
70	0.3147004608
71	0.3120154356
72	0.3091684774
73	0.305634127
74	0.3026492537
75	0.3003602772
76	0.298198775
77	0.2950502238
78	0.2915902216
79	0.2890230362
80	0.2861879905
81	0.2833268002
82	0.2811806862
83	0.2786508711
84	0.2762314924
85	0.2737046696
86	0.2713663517
87	0.2692746015
88	0.2667206798
89	0.2642166847
90	0.2622829701
91	0.2597553176
92	0.2576393076
93	0.2550928651
94	0.25288149
95	0.2511317886
96	0.2495177615
97	0.2473894015
98	0.2451439234
99	0.243245864
100	0.2416014192
101	0.2396526733
102	0.2373440923
103	0.2356984851
104	0.2337140057
105	0.2316147426
106	0.2297699064
107	0.2282866136
108	0.2263244355
109	0.2240756414
110	0.2221617737
111	0.2208358136
112	0.2193423564
113	0.2176752366
114	0.2160735334
115	0.2142058658
116	0.2127424402
117	0.2110051912
118	0.2096435665
119	0.2079656654
120	0.2067698919
121	0.2051407807
122	0.2036144767
123	0.2021215548
124	0.2006536402
125	0.1993574122
126	0.1981943173
127	0.1964147668
128	0.1948596333
129	0.1930548359
130	0.1917343672
131	0.1901711877
132	0.1887822035
